Bedroom,Bathroom,Den,Address,Lat,Long,Price
2,1,0,", Toronto M5J 0B8 ON, Canada",43.6408157,-79.3817523,1500
2,2,0,"170 Bayview Ave, Toronto, ON M5A 0G4, Canada",43.6551919,-79.3539119,2999
1,1,0,"125 Western Battey st, M6k 3s2, Toronto, ON",43.6399343,-79.4164454,2100
2,1,0,"2386  New Street, Burlington, ON, L7R 1J7",43.336221,-79.7869004,1775
3,1.5,0,"2304  Weston Road, Toronto, ON, M9N 1Z3",43.705123,-79.5300905,2050
1,1,0,"2304  Weston Road, Toronto, ON, M9N 1Z3",43.705123,-79.5300905,1525
2,1,0,"2304  Weston Road, Toronto, ON, M9N 1Z3",43.705123,-79.5300905,1799
2,1,0,"1275  Brant St, Burlington, ON, L7P 1X7",43.3451932,-79.8261288,1875
2,1,0,"700  Ross Street, Burlington, ON, L7S 1S2",43.3289855,-79.8086183,1625
1,1,1,"361 Front St W, Toronto, ON M5V 3R5, Canada",43.6430505,-79.3916429,2150
1,1,0,"80 St Patrick St, Toronto, ON M5T 2X6, Canada",43.6524873,-79.3896218,1800
1,1,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,2200
1,1,0,"126 Simcoe str, Toronto Downtown M5V 1T8 ON",43.6489727,-79.3872946,2299
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,2450
1,1,0,"50 Charles St E, Toronto, ON M4Y 1T1, Canada",43.6695496,-79.3837757,2000
1,1,0,"87 Peter St, Toronto, ON M5V 0P1, Canada",43.6469441,-79.3923973,2100
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,2300
2,2,0,"120 Homewood Ave, Toronto, ON M4Y 1J3, Canada",43.6667515,-79.3762355,4100
1,1,0,", M5G2E8, Toronto, ON",43.6550692,-79.3874705,1200
2,2,0,"m1s0l7, Canada",43.7800331,-79.2810545,2184
2,2,0,"2155 Burnhamthorpe Rd W, Mississauga, ON L5L 5P4, Canada",43.5464869,-79.6854157,2350
1,1,0,"3525 Kariya Dr, Mississauga, ON L5B 0C1, Canada",43.588602,-79.6317004,1900
1,1,0,"M4L1G3, Canada",43.6669887,-79.3146912,1100
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,2450
1,1,0,"126 Simcoe str, Toronto Downtown M5V 1T8 ON",43.6489727,-79.3872946,2299
2,2,0,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",43.6394055,-79.3932324,3150
1,1,1,"361 Front St W, Toronto, ON M5V 3R5, Canada",43.6430505,-79.3916429,2150
1,1,0,"Water Walk Dr, Markham, ON L3R, Canada",43.85631,-79.3286298,1800
1,1,1,"52 Sumach St, Toronto, ON M5A 3J7, Canada",43.6559879,-79.3588769,3200
1,1,1,"12 York St, Toronto, ON M5J 2Z2, Canada",43.6418726,-79.3819064,2400
1,1,0,", DOWNTOWN M5V 4A9 ON, Canada",43.640402,-79.3971467,2100
1,1,0,"460 Adelaide St E, Toronto, ON, M4V 1K6",43.6527574,-79.3665108,2480
1,1,1,"1 The Esplanade, Toronto, ON, M5E 0A8",43.6458091,-79.3756819,3000
1,1,0,"560 King St W, Toronto, ON, M4V 1K6",43.6448637,-79.3990598,2250
1,1,0,"290 Adelaide Street West, Toronto, ON, M5V 1P6",43.64787,-79.391138,1850
2,1,0,"2386  New Street, Burlington, ON, L7R 1J7",43.336221,-79.7869004,1750
1,1,0,"101 Charles St, TORONTO, ON, M4Y 1V2",43.6695928,-79.3805797,535000
2,1,0,"700  Ross Street, Burlington, ON, L7S 1S2",43.3289855,-79.8086183,1675
2,2,0,"1 The Esplanade, Toronto, ON, M5E 0A8",43.6458091,-79.3756819,3400
1,1,0,"1 SHAW ST, TORONTO, ON, M6K 0A1",43.6408455,-79.4143193,2180
1,1,0,"The Uptown Residences, 35 Balmuto St, Toronto, ON M4Y 0A3, Canada",43.6694507,-79.3874705,2550
1,1,1,", L3R9X3, markham, ON",43.8413607,-79.3201494,1900
1,1,0,", L6G0G3, markham, ON",43.8561002,-79.3370188,1800
